09-02-2021 16:41:47 - Twig_Error_Loader:  Unable to find template "common/column_left.twig" (looked into: C:/wamp64/www/weye/catalog/view/theme). no arquivo C:\wamp64\www\weye\system\library\template\Twig\Loader\Filesystem.php na linha 215
09-02-2021 16:42:14 - Twig_Error_Loader:  Unable to find template "common/column_left.twig" (looked into: C:/wamp64/www/weye/catalog/view/theme). no arquivo C:\wamp64\www\weye\system\library\template\Twig\Loader\Filesystem.php na linha 215
10-02-2021 15:11:08 - ParseError:  syntax error, unexpected ''href'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' no arquivo C:\wamp64\www\weye\catalog\controller\common\menu.php na linha 31
10-02-2021 16:58:24 - Twig_Error_Syntax:  Unexpected "endfor" tag (expecting closing tag for the "if" tag defined near line 11) in "weye/template/product/products_list.twig" at line 41. no arquivo C:\wamp64\www\weye\system\library\template\Twig\Parser.php na linha 172
10-02-2021 18:29:29 - Twig_Error_Loader:  Unable to find template "weye/template/products/products_list.twig" (looked into: C:/wamp64/www/weye/catalog/view/theme). no arquivo C:\wamp64\www\weye\system\library\template\Twig\Loader\Filesystem.php na linha 215
19-02-2021 18:24:37 - Twig_Error_Syntax:  Unexpected "endif" tag (expecting closing tag for the "for" tag defined near line 48) in "common/column_left.twig" at line 51. no arquivo C:\wamp64\www\weye\system\library\template\Twig\Parser.php na linha 172
26-02-2021 12:40:04 - PHP Notice:  Undefined index: image in C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php on line 1071
26-02-2021 12:40:04 - PHP Notice:  Undefined index: image in C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php on line 1071
26-02-2021 12:40:04 - PHP Notice:  Undefined index: image in C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php on line 1071
26-02-2021 12:48:08 - ParseError:  syntax error, unexpected ';', expecting ')' no arquivo C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php na linha 1071
26-02-2021 12:48:15 - Error:  Call to a member function resize() on null no arquivo C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php na linha 1071
26-02-2021 12:48:38 - Error:  Call to a member function resize() on null no arquivo C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php na linha 1071
26-02-2021 12:48:56 - ParseError:  syntax error, unexpected ';', expecting ')' no arquivo C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php na linha 1060
26-02-2021 12:50:01 - Error:  Call to a member function resize() on null no arquivo C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php na linha 1071
26-02-2021 12:51:10 - Error:  Call to a member function resize() on null no arquivo C:\wamp64\www\storage_weye\modification\admin\controller\catalog\product.php na linha 1071
26-02-2021 13:06:30 - PHP Notice:  Undefined variable: options_value no arquivo C:\wamp64\www\storage_weye\modification\catalog\controller\product\product.php na linha 339
26-02-2021 13:06:30 - PHP Notice:  Undefined variable: options_value no arquivo C:\wamp64\www\storage_weye\modification\catalog\controller\product\product.php na linha 339
26-02-2021 13:17:26 - PHP Notice:  Array to string conversion no arquivo C:\wamp64\www\weye\system\library\template\Twig\Environment.php(403) : eval()'d code na linha 677
